time,MAC,packet
2025-09-18 12:23:53.951709,00:0c:29:c2:dc:18,Ether / IP / IGMP: 192.168.0.3 > 224.0.0.1 Group Membership Query 224.0.0.1
2025-09-18 12:23:54.292006,00:0c:29:77:3b:af,Ether / IP / IGMP: 192.168.0.4 > 224.0.0.252 Version 2 - Membership Report 224.0.0.252 / Padding
2025-09-18 12:23:54.294821,00:0c:29:77:3b:af,Ether / IP / IGMP: 192.168.0.4 > 224.0.0.251 Version 2 - Membership Report 224.0.0.251 / Padding
2025-09-18 12:23:54.295747,00:0c:29:77:3b:af,Ether / IP / IGMP: 192.168.0.4 > 239.255.255.250 Version 2 - Membership Report 239.255.255.250 / Padding
2025-09-18 12:23:54.325400,00:50:56:c0:00:02,Ether / IP / IGMP: 169.254.92.128 > 224.0.0.252 Version 2 - Membership Report 224.0.0.252 / Padding
2025-09-18 12:23:54.325595,00:50:56:c0:00:02,Ether / IP / IGMP: 169.254.92.128 > 224.0.0.251 Version 2 - Membership Report 224.0.0.251 / Padding
2025-09-18 12:23:54.325766,00:50:56:c0:00:02,Ether / IP / IGMP: 169.254.92.128 > 239.255.255.250 Version 2 - Membership Report 239.255.255.250 / Padding
2025-09-18 12:23:54.992316,00:0c:29:c2:dc:18,Ether / IP / IGMP: 192.168.0.3 > 224.0.0.1 Group Membership Query 0.0.0.0
2025-09-18 12:23:54.994679,00:0c:29:c2:dc:18,Ether / IP / IGMP: 192.168.0.3 > 224.0.0.1 Group Membership Query 0.0.0.0
2025-09-18 12:23:55.043785,00:0c:29:c2:dc:18,Ether / IP / IGMP: 192.168.0.3 > 224.0.0.1 Group Membership Query 224.0.0.1
2025-09-18 12:23:55.046339,00:0c:29:c2:dc:18,Ether / IP / IGMP: 192.168.0.3 > 224.0.0.1 Group Membership Query 224.0.0.1
2025-09-18 12:23:55.096086,00:0c:29:c2:dc:18,Ether / IP / ICMP 192.168.0.3 > 224.0.0.1 echo-request 0 / Raw
2025-09-18 12:23:55.136147,00:0c:29:c2:dc:18,Ether / IP / ICMP 192.168.0.3 > 255.255.255.255 echo-request 0 / Raw
2025-09-18 12:23:55.141504,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 echo-reply 0 / Raw / Padding
2025-09-18 12:23:55.192179,00:0c:29:c2:dc:18,Ether / IP / ICMP 192.168.0.3 > 192.168.0.255 echo-request 0 / Raw
2025-09-18 12:23:55.203048,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 echo-reply 0 / Raw / Padding
2025-09-18 12:23:55.240247,00:0c:29:c2:dc:18,Ether / IP / ICMP 192.168.0.3 > 224.0.0.2 router-solicitation 0 / Raw
2025-09-18 12:23:55.289037,00:0c:29:c2:dc:18,Ether / IP / ICMP 192.168.0.3 > 255.255.255.255 router-solicitation 0 / Raw
2025-09-18 12:23:55.332110,00:0c:29:c2:dc:18,Ether / IP / ICMP 192.168.0.3 > 192.168.0.255 router-solicitation 0 / Raw
2025-09-18 12:23:55.380227,00:0c:29:c2:dc:18,Ether / IP / ICMP 192.168.0.3 > 224.0.0.1 255 0 / Raw
2025-09-18 12:23:55.419986,00:0c:29:c2:dc:18,Ether / IP / ICMP 192.168.0.3 > 255.255.255.255 255 0 / Raw
2025-09-18 12:23:55.475581,00:0c:29:c2:dc:18,Ether / IP / ICMP 192.168.0.3 > 192.168.0.255 255 0 / Raw
2025-09-18 12:23:55.519715,00:0c:29:c2:dc:18,Ether / ARP who has 192.168.0.1 says 192.168.0.3
2025-09-18 12:23:55.529616,ca:01:07:3b:00:08,Ether / ARP is at ca:01:07:3b:00:08 says 192.168.0.1 / Padding
2025-09-18 12:23:55.599815,00:0c:29:c2:dc:18,Ether / IPv6 / ICMPv6ND_NS / ICMPv6 Neighbor Discovery Option - Source Link-Layer Address 00:0c:29:c2:dc:18
2025-09-18 12:23:55.601285,ca:01:07:3b:00:08,Ether / IPv6 / ICMPv6ND_NA / ICMPv6 Neighbor Discovery Option - Destination Link-Layer Address ca:01:07:3b:00:08
2025-09-18 12:23:55.663965,00:0c:29:c2:dc:18,Ether / ARP who has 192.168.0.1 says 192.168.0.3
2025-09-18 12:23:55.675431,ca:01:07:3b:00:08,Ether / ARP is at ca:01:07:3b:00:08 says 192.168.0.1 / Padding
2025-09-18 12:23:55.707929,00:0c:29:c2:dc:18,Ether / ARP who has 192.168.0.254 says 192.168.0.3
2025-09-18 12:23:55.761157,00:0c:29:c2:dc:18,Ether / IPv6 / ICMPv6ND_NS / ICMPv6 Neighbor Discovery Option - Source Link-Layer Address 00:0c:29:c2:dc:18
2025-09-18 12:23:55.812307,00:0c:29:c2:dc:18,Ether / IPv6 / ICMPv6ND_NS / ICMPv6 Neighbor Discovery Option - Source Link-Layer Address 00:0c:29:c2:dc:18
2025-09-18 12:23:55.851866,00:0c:29:c2:dc:18,Ether / IPv6 / ICMPv6ND_NS / ICMPv6 Neighbor Discovery Option - Source Link-Layer Address 00:0c:29:c2:dc:18
2025-09-18 12:23:55.900314,00:0c:29:c2:dc:18,Ether / IPv6 / ICMPv6ND_NS / ICMPv6 Neighbor Discovery Option - Source Link-Layer Address 00:0c:29:c2:dc:18
2025-09-18 12:23:55.905406,ca:01:07:3b:00:08,Ether / IPv6 / ICMPv6ND_NA / ICMPv6 Neighbor Discovery Option - Destination Link-Layer Address ca:01:07:3b:00:08
2025-09-18 12:23:55.948521,00:0c:29:c2:dc:18,Ether / IP / UDP / BOOTP / DHCP Discover
2025-09-18 12:23:55.961588,ca:01:07:3b:00:08,Ether / IP / UDP / BOOTP / DHCP Offer
2025-09-18 12:23:56.014093,00:0c:29:c2:dc:18,Ether / IPv6 / UDP fe80::2cc4:e237:ed99:86bb:dhcpv6_client > ff02::1:2:dhcpv6_server / DHCP6_Solicit / DHCP6OptClientId / DHCP6OptElapsedTime / DHCP6OptIA_NA
2025-09-18 12:23:56.056064,00:0c:29:c2:dc:18,Ether / IP / UDP 192.168.0.3:51882 > 239.255.255.250:3702 / Raw
2025-09-18 12:23:56.104097,00:0c:29:c2:dc:18,Ether / IPv6 / UDP 2001:a:b:c:2f3b:681d:45b5:b57b:49549 > ff02::c:3702 / Raw
2025-09-18 12:23:56.152890,00:0c:29:c2:dc:18,Ether / IPv6 / UDP fe80::2cc4:e237:ed99:86bb:63718 > ff02::c:3702 / Raw
2025-09-18 12:23:56.200361,00:0c:29:c2:dc:18,Ether / IP / UDP / mDNS Qry b'_services._dns-sd._udp.local.'
2025-09-18 12:23:56.248186,00:0c:29:c2:dc:18,Ether / IPv6 / UDP / mDNS Qry b'_services._dns-sd._udp.local.'
2025-09-18 12:23:56.288476,00:0c:29:c2:dc:18,Ether / IPv6 / UDP / mDNS Qry b'_services._dns-sd._udp.local.'
2025-09-18 12:23:56.290529,00:0c:29:77:3b:af,Ether / IP / IGMP: 192.168.0.4 > 239.255.255.250 Version 1 - Membership Report 239.255.255.250 / Padding
2025-09-18 12:23:58.215287,00:50:56:c0:00:02,Ether / IPv6 / UDP fe80::cbea:9338:c8bb:5317:3702 > fe80::2cc4:e237:ed99:86bb:63718 / Raw
2025-09-18 12:23:58.294379,00:0c:29:77:3b:af,Ether / IP / IGMP: 192.168.0.4 > 224.0.0.251 Version 1 - Membership Report 224.0.0.251 / Padding
2025-09-18 12:23:58.307836,00:50:56:c0:00:02,Ether / IPv6 / UDP fe80::cbea:9338:c8bb:5317:3702 > fe80::2cc4:e237:ed99:86bb:63718 / Raw
2025-09-18 12:23:58.494270,00:50:56:c0:00:02,Ether / IPv6 / UDP fe80::cbea:9338:c8bb:5317:3702 > fe80::2cc4:e237:ed99:86bb:63718 / Raw
2025-09-18 12:23:59.092392,00:0c:29:c2:dc:18,Ether / IPv6 / UDP fe80::2cc4:e237:ed99:86bb:5355 > ff02::1:3:5355 / LLMNRQuery who has 'b.b.6.8.9.9.d.e.7.3.2.e.4.c.c.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa.'
2025-09-18 12:23:59.254537,00:0c:29:c2:dc:18,Ether / IPv6 / UDP / mDNS Qry b'b.b.6.8.9.9.d.e.7.3.2.e.4.c.c.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa.'
2025-09-18 12:23:59.695243,00:0c:29:c2:dc:18,Ether / IPv6 / UDP fe80::2cc4:e237:ed99:86bb:5355 > ff02::1:3:5355 / LLMNRQuery who has 'b.b.6.8.9.9.f.f.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa.'
2025-09-18 12:23:59.781849,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'0.debian.pool.ntp.org.'
2025-09-18 12:23:59.781929,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'0.debian.pool.ntp.org.'
2025-09-18 12:23:59.783798,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:59.783908,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'0.debian.pool.ntp.org.'
2025-09-18 12:23:59.783951,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'0.debian.pool.ntp.org.'
2025-09-18 12:23:59.794932,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:59.794933,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:59.794933,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:59.796362,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'1.debian.pool.ntp.org.'
2025-09-18 12:23:59.796420,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'1.debian.pool.ntp.org.'
2025-09-18 12:23:59.805260,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:59.805260,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:59.805765,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'1.debian.pool.ntp.org.'
2025-09-18 12:23:59.805811,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'1.debian.pool.ntp.org.'
2025-09-18 12:23:59.815623,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:59.815679,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:59.816019,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'2.debian.pool.ntp.org.'
2025-09-18 12:23:59.816139,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'2.debian.pool.ntp.org.'
2025-09-18 12:23:59.825841,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:59.825841,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:59.826036,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'2.debian.pool.ntp.org.'
2025-09-18 12:23:59.826137,00:0c:29:c2:dc:18,Ether / IP / UDP / DNS Qry b'2.debian.pool.ntp.org.'
2025-09-18 12:23:59.836543,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
2025-09-18 12:23:59.836543,ca:01:07:3b:00:08,Ether / IP / ICMP 192.168.0.1 > 192.168.0.3 dest-unreach port-unreachable / IPerror / UDPerror
