time,src MAC,des MAC,source IP,destination IP,protocol,length
1758212675.3025439,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,2001:a:b:c:2f3b:681d:45b5:b57b,2001:a:b:c:c801:7ff:fe3b:8,60,
1758212675.313894,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,2001:a:b:c:2f3b:681d:45b5:b57b,58,
1758212675.3400323,00:50:56:c0:00:02,00:0c:29:c2:dc:18,fe80::cbea:9338:c8bb:5317,2001:67c:1223:3::93e5:ff69,6,
1758212675.3401833,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::cbea:9338:c8bb:5317,2001:67c:1223:3::93e5:ff69,6,
1758212675.3565328,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,2001:a:b:c:2f3b:681d:45b5:b57b,2001:a:b:c:c801:7ff:fe3b:8,60,
1758212675.3660367,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,2001:a:b:c:2f3b:681d:45b5:b57b,58,
1758212675.3960037,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,2001:a:b:c:2f3b:681d:45b5:b57b,fe80::c801:7ff:fe3b:8,58,
1758212675.4076407,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,2001:a:b:c:2f3b:681d:45b5:b57b,58,
1758212675.418921,ca:01:07:3b:00:08,33:33:ff:bb:53:17,fe80::c801:7ff:fe3b:8,ff02::1:ffbb:5317,58,
1758212675.4399235,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,2001:a:b:c:2f3b:681d:45b5:b57b,fe80::c801:7ff:fe3b:8,60,
1758212675.4476159,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,fe80::c801:7ff:fe3b:8,58,
1758212675.4493377,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,2001:a:b:c::1,2001:a:b:c:2f3b:681d:45b5:b57b,58,
1758212675.487726,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,2001:a:b:c:2f3b:681d:45b5:b57b,fe80::c801:7ff:fe3b:8,60,
1758212675.4917843,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,2001:a:b:c::1,2001:a:b:c:2f3b:681d:45b5:b57b,58,
1758212675.527654,00:0c:29:c2:dc:18,00:0c:29:77:3b:af,2001:a:b:c:2f3b:681d:45b5:b57b,2001:a:b:c:535:7b17:55d2:b0ca,58,
1758212675.567631,00:0c:29:c2:dc:18,00:0c:29:77:3b:af,2001:a:b:c:2f3b:681d:45b5:b57b,2001:a:b:c:535:7b17:55d2:b0ca,60,
1758212675.6034229,00:0c:29:c2:dc:18,00:0c:29:77:3b:af,2001:a:b:c:2f3b:681d:45b5:b57b,2001:a:b:c:535:7b17:55d2:b0ca,60,
1758212675.639578,00:0c:29:c2:dc:18,00:0c:29:77:3b:af,2001:a:b:c:2f3b:681d:45b5:b57b,fe80::535:7b17:55d2:b0ca,58,
1758212675.6884842,00:0c:29:c2:dc:18,00:0c:29:77:3b:af,2001:a:b:c:2f3b:681d:45b5:b57b,fe80::535:7b17:55d2:b0ca,60,
1758212675.7246666,00:0c:29:c2:dc:18,00:0c:29:77:3b:af,2001:a:b:c:2f3b:681d:45b5:b57b,fe80::535:7b17:55d2:b0ca,60,
1758212675.7757785,00:0c:29:c2:dc:18,00:50:56:c0:00:02,2001:a:b:c:2f3b:681d:45b5:b57b,2001:a:b:c:cbea:9338:c8bb:5317,58,
1758212675.786317,ca:01:07:3b:00:08,33:33:ff:bb:53:17,fe80::c801:7ff:fe3b:8,ff02::1:ffbb:5317,58,
1758212675.8083198,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,fe80::c801:7ff:fe3b:8,58,
1758212675.8202748,00:0c:29:c2:dc:18,00:50:56:c0:00:02,2001:a:b:c:2f3b:681d:45b5:b57b,2001:a:b:c:cbea:9338:c8bb:5317,60,
1758212675.8254278,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,2001:a:b:c:2f3b:681d:45b5:b57b,58,
1758212675.8680217,00:0c:29:c2:dc:18,00:50:56:c0:00:02,2001:a:b:c:2f3b:681d:45b5:b57b,2001:a:b:c:cbea:9338:c8bb:5317,60,
1758212675.877486,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,2001:a:b:c:2f3b:681d:45b5:b57b,58,
1758212675.8996925,00:0c:29:c2:dc:18,00:50:56:c0:00:02,2001:a:b:c:2f3b:681d:45b5:b57b,fe80::cbea:9338:c8bb:5317,58,
1758212675.9004521,00:50:56:c0:00:02,00:0c:29:c2:dc:18,fe80::cbea:9338:c8bb:5317,2001:a:b:c:2f3b:681d:45b5:b57b,58,
1758212675.9099462,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,2001:a:b:c:2f3b:681d:45b5:b57b,58,
1758212675.9402032,00:0c:29:c2:dc:18,00:50:56:c0:00:02,2001:a:b:c:2f3b:681d:45b5:b57b,fe80::cbea:9338:c8bb:5317,60,
1758212675.9512715,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,2001:a:b:c:2f3b:681d:45b5:b57b,58,
1758212675.976526,00:0c:29:c2:dc:18,00:50:56:c0:00:02,2001:a:b:c:2f3b:681d:45b5:b57b,fe80::cbea:9338:c8bb:5317,60,
1758212675.9828253,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,2001:a:b:c:2f3b:681d:45b5:b57b,58,
1758212676.0118353,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,2001:a:b:c:c801:7ff:fe3b:8,58,
1758212676.0150652,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,fe80::2cc4:e237:ed99:86bb,58,
1758212676.0441995,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,2001:a:b:c:c801:7ff:fe3b:8,60,
1758212676.0482378,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,fe80::2cc4:e237:ed99:86bb,58,
1758212676.0882554,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,2001:a:b:c:c801:7ff:fe3b:8,60,
1758212676.09129,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,fe80::2cc4:e237:ed99:86bb,58,
1758212676.1477318,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,fe80::c801:7ff:fe3b:8,58,
1758212676.1541135,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,fe80::2cc4:e237:ed99:86bb,58,
1758212676.1803858,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,fe80::c801:7ff:fe3b:8,60,
1758212676.2161736,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,fe80::c801:7ff:fe3b:8,60,
1758212676.2291596,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,fe80::2cc4:e237:ed99:86bb,58,
1758212676.2639308,00:0c:29:c2:dc:18,00:0c:29:77:3b:af,fe80::2cc4:e237:ed99:86bb,2001:a:b:c:535:7b17:55d2:b0ca,58,
1758212676.3121161,00:0c:29:c2:dc:18,00:0c:29:77:3b:af,fe80::2cc4:e237:ed99:86bb,2001:a:b:c:535:7b17:55d2:b0ca,60,
1758212676.3388667,ca:01:07:3b:00:08,33:33:ff:3b:00:08,fe80::c801:7ff:fe3b:8,ff02::1:ff3b:8,58,
1758212676.3517063,00:0c:29:c2:dc:18,00:0c:29:77:3b:af,fe80::2cc4:e237:ed99:86bb,2001:a:b:c:535:7b17:55d2:b0ca,60,
1758212676.3600802,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,fe80::c801:7ff:fe3b:8,58,
1758212676.3831234,00:0c:29:c2:dc:18,00:0c:29:77:3b:af,fe80::2cc4:e237:ed99:86bb,fe80::535:7b17:55d2:b0ca,58,
1758212676.4252703,00:0c:29:c2:dc:18,00:0c:29:77:3b:af,fe80::2cc4:e237:ed99:86bb,fe80::535:7b17:55d2:b0ca,60,
1758212676.460221,00:0c:29:c2:dc:18,00:0c:29:77:3b:af,fe80::2cc4:e237:ed99:86bb,fe80::535:7b17:55d2:b0ca,60,
1758212676.507592,00:0c:29:c2:dc:18,00:50:56:c0:00:02,fe80::2cc4:e237:ed99:86bb,2001:a:b:c:cbea:9338:c8bb:5317,58,
1758212676.5144448,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,fe80::2cc4:e237:ed99:86bb,58,
1758212676.5522351,00:0c:29:c2:dc:18,33:33:00:00:00:01,fe80::2cc4:e237:ed99:86bb,ff02::1,58,
1758212676.5525508,00:0c:29:c2:dc:18,00:50:56:c0:00:02,fe80::2cc4:e237:ed99:86bb,2001:a:b:c:cbea:9338:c8bb:5317,60,
1758212676.599581,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,2001:a:b:c::1,2001:a:b:c:2f3b:681d:45b5:b57b,58,
1758212676.604122,00:0c:29:c2:dc:18,00:50:56:c0:00:02,fe80::2cc4:e237:ed99:86bb,2001:a:b:c:cbea:9338:c8bb:5317,60,
1758212676.6314626,00:0c:29:c2:dc:18,00:50:56:c0:00:02,fe80::2cc4:e237:ed99:86bb,fe80::cbea:9338:c8bb:5317,58,
1758212676.6332371,00:50:56:c0:00:02,00:0c:29:c2:dc:18,fe80::cbea:9338:c8bb:5317,fe80::2cc4:e237:ed99:86bb,58,
1758212676.640378,ca:01:07:3b:00:08,33:33:ff:bb:53:17,fe80::c801:7ff:fe3b:8,ff02::1:ffbb:5317,58,
1758212676.6636202,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,fe80::c801:7ff:fe3b:8,58,
1758212676.6801379,00:0c:29:c2:dc:18,00:50:56:c0:00:02,fe80::2cc4:e237:ed99:86bb,fe80::cbea:9338:c8bb:5317,60,
1758212676.6911924,ca:01:07:3b:00:08,00:0c:29:c2:dc:18,fe80::c801:7ff:fe3b:8,fe80::2cc4:e237:ed99:86bb,58,
1758212676.716473,00:0c:29:c2:dc:18,00:50:56:c0:00:02,fe80::2cc4:e237:ed99:86bb,fe80::cbea:9338:c8bb:5317,60,
1758212676.8521671,ca:01:07:3b:00:08,33:33:ff:bb:53:17,fe80::c801:7ff:fe3b:8,ff02::1:ffbb:5317,58,
1758212676.85305,00:0c:29:c2:dc:18,33:33:00:01:00:03,fe80::2cc4:e237:ed99:86bb,ff02::1:3,17,
1758212676.8717594,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,fe80::c801:7ff:fe3b:8,58,
1758212677.0034294,00:0c:29:c2:dc:18,33:33:00:00:00:fb,fe80::2cc4:e237:ed99:86bb,ff02::fb,17,
1758212677.4391694,00:0c:29:c2:dc:18,33:33:00:01:00:03,fe80::2cc4:e237:ed99:86bb,ff02::1:3,17,
1758212677.6077127,00:0c:29:c2:dc:18,33:33:00:00:00:fb,fe80::2cc4:e237:ed99:86bb,ff02::fb,17,
1758212677.7959006,ca:01:07:3b:00:08,33:33:ff:3b:00:08,fe80::c801:7ff:fe3b:8,ff02::1:ff3b:8,58,
1758212677.811479,00:0c:29:c2:dc:18,ca:01:07:3b:00:08,fe80::2cc4:e237:ed99:86bb,fe80::c801:7ff:fe3b:8,58,
1758212678.0600224,00:0c:29:c2:dc:18,33:33:00:01:00:03,fe80::2cc4:e237:ed99:86bb,ff02::1:3,17,
1758212678.2056472,00:0c:29:c2:dc:18,33:33:00:00:00:fb,fe80::2cc4:e237:ed99:86bb,ff02::fb,17,
1758212678.3129103,ca:01:07:3b:00:08,33:33:ff:bb:53:17,fe80::c801:7ff:fe3b:8,ff02::1:ffbb:5317,58,
